,NDVI,X,Y,date
0,3973,39.41,3.271,20240305
1,3973,39.445,3.261,20240305
2,3973,39.492,3.254,20240305
3,3631,39.541,3.251,20240305
4,3704,39.59,3.253,20240305
5,3704,39.638,3.26,20240305
6,3704,39.672,3.271,20240305
7,3390,39.11,3.323,20240305
8,3344,39.145,3.316,20240305
9,3344,39.192,3.311,20240305
10,3798,39.241,3.309,20240305
11,3798,39.292,3.309,20240305
12,3700,39.342,3.306,20240305
13,3620,39.392,3.303,20240305
14,3973,39.441,3.301,20240305
15,3973,39.491,3.301,20240305
16,3631,39.541,3.301,20240305
17,3704,39.591,3.301,20240305
18,3704,39.641,3.301,20240305
19,3694,39.686,3.305,20240305
20,3158,39.718,3.323,20240305
21,3301,38.757,3.373,20240305
22,3333,38.795,3.368,20240305
23,3333,38.843,3.361,20240305
24,4414,38.892,3.356,20240305
25,4414,38.941,3.356,20240305
26,3640,38.99,3.358,20240305
27,3640,39.041,3.361,20240305
28,3390,39.093,3.353,20240305
29,3390,39.141,3.351,20240305
30,3344,39.191,3.351,20240305
31,3798,39.241,3.351,20240305
32,3798,39.291,3.351,20240305
33,3700,39.341,3.351,20240305
34,3700,39.391,3.351,20240305
35,4191,39.441,3.351,20240305
36,4191,39.491,3.351,20240305
37,4018,39.541,3.351,20240305
38,4018,39.591,3.351,20240305
39,3221,39.641,3.351,20240305
40,3158,39.691,3.351,20240305
41,3158,39.725,3.356,20240305
42,3208,38.362,3.425,20240305
43,3208,38.397,3.424,20240305
44,3166,38.442,3.423,20240305
45,3166,38.477,3.424,20240305
46,4376,38.604,3.422,20240305
47,4376,38.644,3.415,20240305
48,4376,38.693,3.408,20240305
49,3797,38.742,3.402,20240305
50,3968,38.791,3.401,20240305
51,3968,38.841,3.401,20240305
52,4214,38.891,3.401,20240305
53,4214,38.941,3.401,20240305
54,4169,38.991,3.401,20240305
55,4169,39.041,3.401,20240305
56,3563,39.091,3.401,20240305
57,3563,39.141,3.401,20240305
58,3551,39.191,3.401,20240305
59,3762,39.241,3.401,20240305
60,3762,39.291,3.401,20240305
61,3892,39.341,3.401,20240305
62,3892,39.391,3.401,20240305
63,4584,39.441,3.401,20240305
64,4584,39.491,3.401,20240305
65,3588,39.541,3.401,20240305
66,3588,39.591,3.401,20240305
67,3072,39.641,3.401,20240305
68,2790,39.691,3.401,20240305
69,2790,39.736,3.404,20240305
70,2790,39.77,3.422,20240305
71,2905,38.01,3.472,20240305
72,2905,38.045,3.462,20240305
73,2243,38.092,3.455,20240305
74,2243,38.141,3.453,20240305
75,2527,38.191,3.453,20240305
76,2527,38.241,3.452,20240305
77,3049,38.291,3.452,20240305
78,3208,38.341,3.451,20240305
79,3208,38.391,3.451,20240305
80,3166,38.441,3.451,20240305
81,3166,38.491,3.451,20240305
82,3460,38.542,3.455,20240305
83,3460,38.591,3.451,20240305
84,4376,38.641,3.451,20240305
85,4376,38.691,3.451,20240305
86,3797,38.741,3.451,20240305
87,3968,38.791,3.451,20240305
88,3968,38.841,3.451,20240305
89,4214,38.891,3.451,20240305
90,4214,38.941,3.451,20240305
91,4169,38.991,3.451,20240305
92,4169,39.041,3.451,20240305
93,3563,39.091,3.451,20240305
94,3563,39.141,3.451,20240305
95,3551,39.191,3.451,20240305
96,3762,39.241,3.451,20240305
97,3762,39.291,3.451,20240305
98,3892,39.341,3.451,20240305
99,3892,39.391,3.451,20240305
100,4584,39.441,3.451,20240305
101,4584,39.491,3.451,20240305
102,3588,39.541,3.451,20240305
103,3588,39.591,3.451,20240305
104,3072,39.641,3.451,20240305
105,2790,39.691,3.451,20240305
106,2790,39.741,3.451,20240305
107,3194,39.787,3.456,20240305
108,3194,39.821,3.471,20240305
109,4071,37.953,3.515,20240305
110,3566,37.993,3.504,20240305
111,3566,38.041,3.501,20240305
112,2734,38.091,3.501,20240305
113,2734,38.141,3.501,20240305
114,2572,38.191,3.501,20240305
115,2572,38.241,3.501,20240305
116,3111,38.291,3.501,20240305
117,3226,38.341,3.501,20240305
118,3226,38.391,3.501,20240305
119,3352,38.441,3.501,20240305
120,3352,38.491,3.501,20240305
121,3888,38.541,3.501,20240305
122,3888,38.591,3.501,20240305
123,4130,38.641,3.501,20240305
124,4130,38.691,3.501,20240305
125,4836,38.741,3.501,20240305
126,4005,38.791,3.501,20240305
127,4005,38.841,3.501,20240305
128,4020,38.891,3.501,20240305
129,4020,38.941,3.501,20240305
130,4235,38.991,3.501,20240305
131,4235,39.041,3.501,20240305
132,3860,39.091,3.501,20240305
133,3860,39.141,3.501,20240305
134,4341,39.191,3.501,20240305
135,4985,39.241,3.501,20240305
136,4985,39.291,3.501,20240305
137,4222,39.341,3.501,20240305
138,4222,39.391,3.501,20240305
139,4538,39.441,3.501,20240305
140,4538,39.491,3.501,20240305
141,3960,39.541,3.501,20240305
142,3960,39.591,3.501,20240305
143,3384,39.641,3.501,20240305
144,3041,39.691,3.501,20240305
145,3041,39.741,3.501,20240305
146,3204,39.791,3.501,20240305
147,3204,39.837,3.505,20240305
148,3231,39.872,3.52,20240305
149,4071,37.908,3.563,20240305
150,4071,37.942,3.551,20240305
151,3566,37.991,3.551,20240305
152,3566,38.041,3.551,20240305
153,2734,38.091,3.551,20240305
154,2734,38.141,3.551,20240305
155,2572,38.191,3.551,20240305
156,2572,38.241,3.551,20240305
157,3111,38.291,3.551,20240305
158,3226,38.341,3.551,20240305
159,3226,38.391,3.551,20240305
160,3352,38.441,3.551,20240305
161,3352,38.491,3.551,20240305
162,3888,38.541,3.551,20240305
163,3888,38.591,3.551,20240305
164,4130,38.641,3.551,20240305
165,4130,38.691,3.551,20240305
166,4836,38.741,3.551,20240305
167,4005,38.791,3.551,20240305
168,4005,38.841,3.551,20240305
169,4020,38.891,3.551,20240305
170,4020,38.941,3.551,20240305
171,4235,38.991,3.551,20240305
172,4235,39.041,3.551,20240305
173,3860,39.091,3.551,20240305
174,3860,39.141,3.551,20240305
175,4341,39.191,3.551,20240305
